epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,20,0,0.0,0.166310767448
2,21,0,0.0,0.193834425015
3,20,0,0.0,0.19341113619
4,22,0,0.0,0.195975076174
5,20,0,0.0,0.20505878357
6,14,121,8.64285714286,0.282761377417
7,25,168,6.72,0.259833669043
8,24,204,8.5,0.259563336174
9,15,178,11.8666666667,0.311160865496
10,39,161,4.12820512821,0.309990141713
11,28,221,7.89285714286,0.352771164686
12,24,289,12.0416666667,0.346321814684
13,20,277,13.85,0.372173679792
14,18,318,17.6666666667,0.382042379333
15,18,325,18.0555555556,0.361810858035
16,17,334,19.6470588235,0.379314106391
17,17,255,15.0,0.372126616635
18,18,263,14.6111111111,0.372986335289
19,15,295,19.6666666667,0.351187494905
20,18,302,16.7777777778,0.407278764774
21,15,271,18.0666666667,0.408735805238
22,15,395,26.3333333333,0.391016518804
23,14,377,26.9285714286,0.411505825934
24,12,326,27.1666666667,0.382864535819
25,9,363,40.3333333333,0.407196595585
26,10,362,36.2,0.373874788615
27,11,364,33.0909090909,0.361928214016
28,13,357,27.4615384615,0.424856938114
29,12,376,31.3333333333,0.42071089501
30,12,449,37.4166666667,0.426019235044
31,9,370,41.1111111111,0.419003009996
32,9,422,46.8888888889,0.424475102909
33,9,444,49.3333333333,0.43088272118
34,8,395,49.375,0.421134419315
35,9,542,60.2222222222,0.444912445019
36,8,437,54.625,0.408367244601
37,7,458,65.4285714286,0.438674691245
38,8,604,75.5,0.452914534979
39,9,385,42.7777777778,0.458175439266
40,8,721,90.125,0.476493250765
41,7,547,78.1428571429,0.425510206767
42,8,723,90.375,0.418722462342
43,7,516,73.7142857143,0.454790284187
44,8,492,61.5,0.448677909565
45,7,505,72.1428571429,0.459104631674
46,9,400,44.4444444444,0.453578467136
47,6,784,130.666666667,0.466816293793
48,8,489,61.125,0.450615303675
49,8,1406,175.75,0.474056715644
50,8,693,86.625,0.479763741745
51,7,675,96.4285714286,0.453262740807
52,6,741,123.5,0.452068085433
53,9,491,54.5555555556,0.460760132764
54,7,740,105.714285714,0.474409115417
55,7,609,87.0,0.464416317735
56,7,1010,144.285714286,0.421279435852
57,8,535,66.875,0.481397259883
58,13,529,40.6923076923,0.555930278469
59,7,1089,155.571428571,0.436834532823
60,11,507,46.0909090909,0.491862168931
61,7,750,107.142857143,0.438845414133
62,7,757,108.142857143,0.430694791181
63,7,1360,194.285714286,0.4571015917
64,7,458,65.4285714286,0.436920767818
65,7,798,114.0,0.438250345918
66,6,780,130.0,0.440366855855
67,7,1097,156.714285714,0.460544524565
68,6,648,108.0,0.489805272734
69,6,1268,211.333333333,0.464128862135
70,7,486,69.4285714286,0.401990834437
71,8,812,101.5,0.423158633728
72,7,866,123.714285714,0.438312234748
73,8,640,80.0,0.469876157949
74,7,1256,179.428571429,0.441415831428
75,7,1386,198.0,0.446937127551
76,8,713,89.125,0.387352707842
77,8,582,72.75,0.447632266348
78,6,984,164.0,0.463139455589
79,8,430,53.75,0.438141115904
80,7,1346,192.285714286,0.455554635422
81,11,766,69.6363636364,0.462974235285
82,6,1032,172.0,0.447033616733
83,7,1489,212.714285714,0.437183265295
84,7,695,99.2857142857,0.425593755189
85,7,1010,144.285714286,0.448975050403
86,6,1002,167.0,0.40348652387
87,7,974,139.142857143,0.395059395637
88,8,1416,177.0,0.454644807354
89,6,1266,211.0,0.427599595832
90,7,1132,161.714285714,0.4714970781
91,6,1057,176.166666667,0.472029386442
92,8,1058,132.25,0.431531996056
93,8,742,92.75,0.438878571521
94,8,875,109.375,0.404054352352
95,7,1148,164.0,0.427988231704
96,8,549,68.625,0.454475564621
97,7,785,112.142857143,0.44694258797
98,6,1124,187.333333333,0.452917369576
99,8,1014,126.75,0.427114751544
100,6,1269,211.5,0.446163309719
